High,Low,Close,SuperTrend
322.410004,319.390015,321.079987,326.01
323.220001,319.529999,323.119995,326.01
330.670013,324.420013,329.480011,317.18
330.890015,327.570007,328.579987,319.51
334.160004,328.679993,333.410004,322.17
335.820007,331.429993,335.420013,325.13
336.320007,334.100006,335.950012,325.89
337.589996,334.920013,335.290009,325.89
335.350006,332.220001,333.600006,325.89
336.619995,332.200012,336.390015,325.89
340.380005,334.089996,335.899994,325.89
341.679993,335.540009,339.820007,327.49
341.299988,337.660004,338.309998,330.23
339.279999,336.619995,338.670013,330.23
341.350006,336.369995,338.609985,330.31
338.850006,335.660004,336.959991,330.31
337.470001,334.190002,335.25,330.31
335.829987,331.839996,334.119995,330.31
336.730011,334.369995,335.339996,330.31
336.399994,332.609985,334.149994,330.31
337.01001,334.140015,336.910004,330.31
342.5,338.399994,341,332.38
342.079987,338.410004,342,332.41
341.890015,338.700012,341.559998,332.76
341.799988,338.910004,341.459991,333.43
344.070007,340.390015,340.899994,334.72
343.480011,339.869995,341.130005,334.72
343.839996,340.929993,343.369995,334.72
346.440002,344.309998,345.350006,335.56
346.209991,343.450012,343.540009,335.56
345,340.51001,341.089996,335.56
345.720001,341.089996,344.25,335.61
347.25,343.540009,345.339996,337.72
345.380005,341.98999,342.429993,337.72
346.790009,342.850006,346.609985,337.72
347.619995,345.100006,345.76001,338
351.190002,346.279999,349.630005,339.67
349.660004,345.540009,347.579987,339.67
351.089996,347.519989,349.799988,339.67
351.269989,348.600006,349.309998,339.67
351,348.320007,349.809998,339.67
352.329987,350.209991,351.959991,341.35
353.420013,351.25,352.26001,342.52
352.890015,349.690002,351.190002,342.52
354.470001,349.420013,353.809998,343.71
355.109985,349.390015,349.98999,344.84
364.630005,355.149994,362.579987,353.77
364.25,358.850006,363.730011,354.88
364.429993,356.059998,358.019989,354.88
362.350006,355.920013,356.980011,354.88
359.25,353.200012,358.350006,354.88
358.950012,356.809998,358.480011,354.88
357.920013,353.670013,354.5,368.22
358.720001,353.380005,354.109985,368.22
356.299988,351.880005,353.190002,368.22
354.299988,351.25,352.559998,368.22
354.179993,349.609985,352.089996,366.53
353.5,349.660004,350.570007,363.03
354.320007,351.540009,354.26001,360.55
357.230011,354.130005,354.299988,360.55
357.350006,352.920013,355.929993,359.99
358.410004,354.529999,355.549988,359.99
358.589996,354.01001,358.290009,359.99
362.679993,358.600006,361.059998,353.62
362.470001,359.25,360.200012,353.62
363.390015,360.600006,362.459991,353.62
366.470001,360,360.470001,354.1
362.799988,359.26001,361.670013,354.1
363.299988,360.869995,361.799988,354.1
364.829987,361.769989,363.149994,354.1
366.609985,364.51001,365.519989,355.1
370.429993,365.470001,367.779999,357.82
370.839996,365.970001,367.820007,358.74
370.220001,368.26001,369.5,359.8
370.200012,367.519989,367.859985,359.8
371.329987,367.790009,370.429993,360.86
373.339996,368.459991,370.480011,363.35
371.339996,366.730011,366.820007,363.35
367.200012,362.940002,363.279999,374.37
363.420013,359.76001,360.160004,371.16
361.890015,357.269989,361.709991,368.99
360.790009,357.950012,359.420013,368.42
360.519989,354.269989,357.779999,367.09
359.470001,356.670013,357.059998,367.09
357.5,348.549988,350.299988,365.21
350,345.410004,348.079987,359.98
348.23999,342.130005,343.040009,357.47
344.01001,339.51001,343.690002,354.84
345.940002,342.369995,345.059998,354.84
348.76001,341.859985,346.339996,354.84
345.899994,342.829987,345.450012,354.84
349.51001,345.5,348.559998,354.84
349.600006,344.920013,348.429993,354.84
348.660004,343.019989,345.660004,354.84
348.440002,343.880005,345.089996,354.84
349.940002,345.829987,346.230011,354.84
348.410004,344.149994,345.390015,354.84
344.829987,339.959991,340.890015,352.9
342.690002,338.450012,338.660004,351.18
340,334.350006,335.859985,347.5
338.880005,333.48999,336.839996,347.5
339.850006,337.769989,338.630005,347.5
339.619995,336.549988,336.899994,347.5
338.320007,335.459991,336.160004,347.5
336.190002,330.579987,331.709991,345.13
338.359985,332.179993,337.410004,345.13
341.48999,337.5,341.329987,345.13
345.329987,340.579987,343.75,345.13
349.390015,344.5,349.019989,337.41
354.350006,349.790009,351.809998,342.83
354.029999,344.059998,346.630005,342.83
346.950012,344.299988,346.170013,342.83
348,344.690002,346.299988,342.83
350.109985,346.880005,348.179993,342.83
351.200012,348.600006,350.559998,342.83
350.649994,348.809998,350.01001,342.83
355.950012,351.25,354.25,342.83
357.309998,354.480011,356.790009,342.83
360,357.230011,359.859985,348.38
360.559998,358.070007,358.929993,352.07
362.609985,358.179993,361.329987,356.17
363.029999,360.25,361,356.65
362.459991,360.049988,361.799988,356.65
363.190002,361.23999,362.679993,356.65
362.640015,359.579987,361.339996,356.65
362.119995,359.209991,360.049988,356.65
361.519989,358.299988,358.690002,356.65
